# Source: https://ssd.jpl.nasa.gov/sats/elem/ and https://ssd.jpl.nasa.gov/sats/phys_par/
# Snapshot generated 2026-06-19; duplicate ephemeris rows are deduplicated by satellite code.
planet,satellite,code,epoch_jd,semi_major_axis_km,eccentricity,argument_of_periapsis_deg,mean_anomaly_deg,inclination_deg,ascending_node_deg,period_days,radius_km
Saturn,S2007_S_10,65177,2451545.000000,11364900,0.367,94.2,23.6,45.8,287.1,452.3576,0
Saturn,S2007_S_11,65178,2451545.000000,17434400,0.499,348.9,233.9,35.5,53.9,859.5264,0
Saturn,S2019_S_22,65179,2451545.000000,11305100,0.369,100.5,223.0,47.3,21.1,448.7750,0
Saturn,S2019_S_23,65180,2451545.000000,11310200,0.255,81.5,1.0,48.7,356.3,449.0806,0
Saturn,S2019_S_24,65181,2451545.000000,11360500,0.345,74.7,79.3,46.7,205.3,452.0743,0
Saturn,S2019_S_25,65182,2451545.000000,11329400,0.271,73.9,358.9,48.1,213.7,450.2181,0
Saturn,S2019_S_26,65183,2451545.000000,11390900,0.365,111.3,164.1,48.1,119.7,453.8882,0
Saturn,S2019_S_27,65184,2451545.000000,16267000,0.420,97.2,152.1,162.1,115.1,774.6333,0
Saturn,S2019_S_28,65185,2451545.000000,17496000,0.199,95.6,307.9,158.4,268.3,864.0938,0
Saturn,S2019_S_29,65186,2451545.000000,17353900,0.441,332.7,133.8,37.7,306.9,853.6229,0
Saturn,S2019_S_30,65187,2451545.000000,17709900,0.107,5.3,187.8,168.3,356.8,879.9708,0
Saturn,S2019_S_31,65188,2451545.000000,17739100,0.488,37.8,35.2,39.8,173.7,882.2410,0
Saturn,S2019_S_32,65189,2451545.000000,17960500,0.276,281.4,20.1,46.2,218.1,898.7083,0
Saturn,S2019_S_33,65190,2451545.000000,18696100,0.289,46.9,245.6,170.4,186.4,954.5340,0
Saturn,S2019_S_34,65191,2451545.000000,18446800,0.536,226.7,78.5,37.6,169.4,935.4472,0
Saturn,S2019_S_35,65192,2451545.000000,18557800,0.577,181.1,259.0,157.3,63.3,943.9993,0
Saturn,S2019_S_36,65193,2451545.000000,19903200,0.161,278.1,145.8,166.9,353.4,1048.4188,0
Saturn,S2019_S_37,65194,2451545.000000,19996900,0.404,355.3,135.8,149.9,273.4,1055.7771,0
Saturn,S2019_S_38,65195,2451545.000000,21998400,0.399,303.7,138.3,163.0,216.6,1218.2743,0
Saturn,S2019_S_39,65196,2451545.000000,23784500,0.098,327.0,92.5,174.5,273.1,1369.6437,0
Saturn,S2019_S_40,65197,2451545.000000,24087800,0.088,242.4,347.6,161.8,44.4,1395.8771,0
Saturn,S2019_S_41,65198,2451545.000000,24493600,0.257,40.0,320.7,157.1,11.4,1431.2979,0
Saturn,S2019_S_42,65199,2451545.000000,24111600,0.121,84.5,351.4,163.2,318.2,1397.9750,0
Saturn,S2019_S_43,65200,2451545.000000,26664100,0.277,108.2,306.2,165.3,116.0,1625.9000,0
Saturn,S2019_S_44,65201,2451545.000000,26796900,0.512,332.7,330.6,172.6,223.0,1638.1104,0
Saturn,S2020_S_11,65202,2451545.000000,11295600,0.372,110.4,95.9,48.2,94.2,448.2111,0
Saturn,S2020_S_12,65203,2451545.000000,11314500,0.260,81.2,350.8,50.8,70.5,449.3271,0
Saturn,S2020_S_13,65204,2451545.000000,11415600,0.373,96.4,230.4,48.0,41.6,455.3875,0
Saturn,S2020_S_14,65205,2451545.000000,16186200,0.313,54.7,209.3,161.7,355.4,768.8625,0
Saturn,S2020_S_15,65206,2451545.000000,16729200,0.462,275.8,141.7,37.1,338.2,807.8243,0
Saturn,S2020_S_16,65207,2451545.000000,16963400,0.405,73.1,185.2,167.3,268.6,824.9229,0
Saturn,S2020_S_17,65208,2451545.000000,17094200,0.378,287.2,359.0,148.9,210.9,834.4472,0
Saturn,S2020_S_18,65209,2451545.000000,17777900,0.180,165.9,218.7,168.9,204.0,885.1153,0
Saturn,S2020_S_19,65210,2451545.000000,17726700,0.159,65.5,80.4,48.1,56.1,881.0431,0
Saturn,S2020_S_20,65211,2451545.000000,17997300,0.133,230.5,330.0,169.8,92.9,901.5250,0
Saturn,S2020_S_21,65212,2451545.000000,18862100,0.307,188.0,95.5,169.9,328.3,967.2604,0
Saturn,S2020_S_22,65213,2451545.000000,19443000,0.059,38.4,128.8,161.3,271.4,1012.2410,0
Saturn,S2020_S_23,65214,2451545.000000,19801500,0.089,61.5,65.1,165.0,153.6,1040.3757,0
Saturn,S2020_S_24,65215,2451545.000000,20618300,0.230,114.8,301.4,159.6,42.2,1105.4083,0
Saturn,S2020_S_25,65216,2451545.000000,20763700,0.316,329.0,318.1,171.8,242.2,1117.0889,0
Saturn,S2020_S_26,65217,2451545.000000,21264400,0.273,143.0,141.3,163.2,252.9,1157.7660,0
Saturn,S2020_S_27,65218,2451545.000000,21802300,0.255,314.6,32.0,145.3,324.5,1202.0160,0
Saturn,S2020_S_28,65219,2451545.000000,21993700,0.474,226.7,2.2,160.1,60.9,1217.8104,0
Saturn,S2020_S_29,65220,2451545.000000,22301400,0.047,298.7,115.9,169.1,255.9,1243.4493,0
Saturn,S2020_S_30,65221,2451545.000000,21790700,0.601,352.3,60.3,154.2,132.1,1201.0187,0
Saturn,S2020_S_31,65222,2451545.000000,22457300,0.238,196.2,0.1,163.8,148.1,1256.5035,0
Saturn,S2020_S_32,65223,2451545.000000,21884100,0.502,198.2,88.9,169.1,351.6,1208.8486,0
Saturn,S2020_S_33,65224,2451545.000000,22922500,0.555,4.3,165.2,162.8,161.7,1295.8500,0
Saturn,S2020_S_34,65225,2451545.000000,22435600,0.154,162.8,116.4,160.6,7.7,1254.6069,0
Saturn,S2020_S_35,65226,2451545.000000,23030300,0.225,19.8,98.0,174.9,344.7,1304.9653,0
Saturn,S2020_S_36,65227,2451545.000000,22806200,0.336,139.7,216.1,168.8,26.9,1286.0292,0
Saturn,S2020_S_37,65228,2451545.000000,23751800,0.344,211.7,182.3,174.8,25.1,1366.8215,0
Saturn,S2020_S_38,65229,2451545.000000,23583900,0.513,246.3,99.4,159.7,284.0,1352.4347,0
Saturn,S2020_S_39,65230,2451545.000000,24262400,0.305,28.9,165.2,160.1,318.8,1411.1451,0
Saturn,S2020_S_40,65231,2451545.000000,23785900,0.412,99.4,64.0,167.3,250.5,1369.7562,0
Saturn,S2020_S_41,65232,2451545.000000,25876400,0.402,224.9,63.1,160.2,28.3,1554.3993,0
Saturn,S2020_S_42,65233,2451545.000000,25329400,0.506,59.1,278.4,157.5,15.4,1505.3118,0
Saturn,S2020_S_43,65234,2451545.000000,26657400,0.203,257.0,252.6,164.6,68.7,1625.2931,0
Saturn,S2020_S_44,65235,2451545.000000,27259400,0.199,283.8,318.0,168.5,28.0,1680.6410,0
Saturn,S2023_S_1,65236,2451545.000000,11205400,0.386,296.8,263.4,48.8,159.6,442.8632,0
Saturn,S2023_S_2,65237,2451545.000000,11309900,0.339,117.3,257.2,45.7,253.8,449.0535,0
Saturn,S2023_S_3,65238,2451545.000000,17646400,0.178,264.0,272.6,46.9,93.7,875.0007,0
Saturn,S2023_S_4,65239,2451545.000000,17764600,0.276,9.5,123.9,170.0,264.4,884.1111,0
Saturn,S2023_S_5,65240,2451545.000000,25583500,0.599,94.9,334.2,168.8,235.0,1528.0368,0
Saturn,S2023_S_6,65241,2451545.000000,11953100,0.336,103.7,133.4,47.4,54.4,487.9090,0
Saturn,S2023_S_7,65242,2451545.000000,12133700,0.284,102.5,102.3,44.7,289.7,499.0097,0
Saturn,S2023_S_8,65243,2451545.000000,14018800,0.122,278.8,149.6,166.9,240.1,619.6910,0
Saturn,S2023_S_9,65244,2451545.000000,13167500,0.141,209.8,285.2,172.2,324.8,564.1139,0
Saturn,S2023_S_10,65245,2451545.000000,15500200,0.302,124.7,70.9,163.0,308.1,720.4931,0
Saturn,S2023_S_11,65246,2451545.000000,14046100,0.300,76.1,334.2,170.9,193.0,621.4931,0
Saturn,S2023_S_12,65247,2451545.000000,15805900,0.601,182.5,339.7,168.8,301.0,741.9167,0
Saturn,S2023_S_13,65248,2451545.000000,15193000,0.179,107.5,173.9,168.5,134.2,699.1799,0
Saturn,S2023_S_14,65249,2451545.000000,16853000,0.497,351.4,62.7,171.6,291.7,816.8618,0
Saturn,S2023_S_15,65250,2451545.000000,18241300,0.549,123.2,159.7,161.9,276.6,919.9347,0
Saturn,S2023_S_16,65251,2451545.000000,17005300,0.270,116.9,80.0,162.6,270.6,827.9111,0
Saturn,S2023_S_17,65252,2451545.000000,17385300,0.498,246.7,128.1,35.9,240.7,855.9354,0
Saturn,S2023_S_18,65253,2451545.000000,17381700,0.448,280.0,169.7,36.7,78.1,855.6535,0
Saturn,S2023_S_19,65254,2451545.000000,17590300,0.092,205.4,325.5,48.2,50.1,870.9229,0
Saturn,S2023_S_20,65255,2451545.000000,17261000,0.442,322.1,200.6,136.5,112.7,846.7653,0
Saturn,S2023_S_21,65256,2451545.000000,17755400,0.077,341.9,38.7,157.3,124.2,883.3083,0
Saturn,S2023_S_22,65257,2451545.000000,18577500,0.182,266.5,4.2,47.5,121.8,945.3701,0
Saturn,S2023_S_23,65258,2451545.000000,18783700,0.350,91.2,81.8,164.8,187.0,961.2236,0
Saturn,S2023_S_24,65259,2451545.000000,18351800,0.374,319.7,54.4,169.7,1.4,928.2451,0
Saturn,S2023_S_25,65260,2451545.000000,19136600,0.281,293.8,186.2,166.4,216.6,988.5278,0
Saturn,S2023_S_26,65261,2451545.000000,19894300,0.306,108.2,132.2,163.9,147.4,1047.7618,0
Saturn,S2023_S_27,65262,2451545.000000,19820100,0.652,117.0,91.2,151.1,306.6,1041.8521,0
Saturn,S2023_S_28,65263,2451545.000000,19881000,0.575,2.3,189.6,168.7,59.6,1046.5556,0
Saturn,S2023_S_29,65264,2451545.000000,20042400,0.141,47.0,162.8,172.2,227.4,1059.4208,0
Saturn,S2023_S_30,65265,2451545.000000,18238300,0.493,191.3,2.7,142.4,250.0,919.7139,0
Saturn,S2023_S_31,65266,2451545.000000,20729200,0.182,240.9,308.7,163.0,261.1,1114.2889,0
Saturn,S2023_S_32,65267,2451545.000000,20454400,0.037,90.3,30.0,169.8,195.2,1092.2417,0
Saturn,S2023_S_33,65268,2451545.000000,21621900,0.665,258.6,49.1,155.8,209.3,1187.0667,0
Saturn,S2023_S_34,65269,2451545.000000,20803900,0.570,275.5,293.6,168.4,303.0,1120.3833,0
Saturn,S2023_S_35,65270,2451545.000000,22269700,0.151,165.5,92.9,168.5,340.9,1240.7618,0
Saturn,S2023_S_36,65271,2451545.000000,22230600,0.359,157.0,312.2,166.3,325.1,1237.6104,0
Saturn,S2023_S_37,65272,2451545.000000,19889800,0.215,241.2,244.7,172.3,63.4,1047.3903,0
Saturn,S2023_S_38,65273,2451545.000000,12823500,0.909,241.2,244.7,149.2,63.4,546.3146,0
Saturn,S2023_S_39,65274,2451545.000000,20824500,0.124,351.9,345.1,164.8,118.3,1121.9938,0
Saturn,S2023_S_40,65275,2451545.000000,21065100,0.342,334.7,3.6,169.6,271.4,1141.4813,0
Saturn,S2023_S_41,65276,2451545.000000,21286400,0.279,323.0,29.1,172.1,7.2,1159.5160,0
Saturn,S2023_S_42,65277,2451545.000000,21837000,0.059,33.2,315.9,166.7,355.1,1204.8146,0
Saturn,S2023_S_43,65278,2451545.000000,22563900,0.264,218.0,92.7,170.3,247.3,1265.5667,0
Saturn,S2023_S_44,65279,2451545.000000,19292400,0.434,166.3,232.9,167.4,179.9,1000.4722,0
Saturn,S2023_S_45,65280,2451545.000000,23438400,0.633,334.1,336.8,157.4,102.2,1339.8472,0
Saturn,S2023_S_46,65281,2451545.000000,24708900,0.336,100.4,230.0,143.2,306.8,1450.2715,0
Saturn,S2023_S_47,65282,2451545.000000,25102300,0.101,257.3,97.5,162.5,208.4,1485.0417,0
Saturn,S2023_S_48,65283,2451545.000000,20029200,0.022,108.2,315.6,169.7,338.7,1058.3493,0
Saturn,S2023_S_49,65284,2451545.000000,21766500,0.026,110.7,82.5,171.7,193.8,1198.9896,0
Saturn,S2023_S_50,65285,2451545.000000,11656500,0.263,326.3,79.8,166.1,29.0,469.8201,0
Saturn,S2020_S_45,65286,2451545.000000,23507700,0.199,195.7,190.2,172.8,183.1,1345.7917,0
Saturn,S2020_S_46,65287,2451545.000000,18892100,0.207,331.2,16.0,167.3,323.4,969.5965,0
Saturn,S2020_S_47,65288,2451545.000000,21397400,0.564,5.4,283.9,146.1,351.6,1168.5778,0
Saturn,S2020_S_48,65289,2451545.000000,11355100,0.373,114.9,21.9,45.9,253.5,451.7528,0
Saturn,S2023_S_51,65290,2451545.000000,23431500,0.191,303.4,310.9,163.3,213.5,1339.2104,0
Saturn,S2023_S_52,65291,2451545.000000,22528000,0.124,88.7,267.3,146.2,42.8,1262.3438,0
Saturn,S2023_S_53,65292,2451545.000000,17181100,0.103,55.0,179.0,171.2,314.6,840.8181,0
Saturn,S2023_S_54,65293,2451545.000000,17485100,0.480,60.4,48.2,37.8,120.8,863.3486,0
Saturn,S2023_S_55,65294,2451545.000000,16875100,0.491,60.8,68.8,35.9,191.1,818.5125,0
Saturn,S2023_S_56,65295,2451545.000000,11287500,0.358,89.8,341.9,45.4,271.0,447.7458,0
Saturn,S2023_S_57,65296,2451545.000000,20536100,0.245,183.5,318.0,168.0,86.3,1098.8285,0
Saturn,S2020_S_49,65297,2451545.000000,11305900,0.373,98.2,313.4,48.0,121.9,448.8382,0
Saturn,S2023_S_58,65298,2451545.000000,17206000,0.093,70.6,175.6,169.6,119.3,842.6812,0
Saturn,S2023_S_59,65299,2451545.000000,20064000,0.467,10.5,66.5,169.5,337.9,1061.0410,0
Saturn,S2023_S_60,65300,2451545.000000,17493700,0.206,258.1,93.9,170.7,81.3,863.9632,0
Saturn,S2023_S_61,65301,2451545.000000,18067700,0.557,37.7,75.3,158.0,303.7,906.8486,0
Saturn,S2023_S_62,65302,2451545.000000,14025900,0.467,206.6,241.3,155.6,355.8,620.1486,0
Saturn,S2023_S_63,65303,2451545.000000,18482600,0.266,299.9,225.6,165.0,101.8,938.2549,0
Uranus,Ariel,701,2451545.000000,190929,0.001,9.6,193.5,0.0,0.0,2.520379,578.9
Uranus,Umbriel,702,2451545.000000,265986,0.004,183.4,253.0,0.1,174.8,4.144177,584.7
Uranus,Titania,703,2451545.000000,436298,0.002,184.0,68.1,0.1,29.5,8.705869,788.9
Uranus,Oberon,704,2451545.000000,583511,0.002,132.2,143.6,0.1,76.8,13.463237,761.4
Uranus,Miranda,705,2451545.000000,129846,0.001,154.8,73.0,4.4,100.9,1.413479,235.8
Uranus,Puck,715,2460676.500000,86007,0.009,337.0,264.1,1.1,111.2,0.7618,0
Uranus,Cordelia,706,2460676.500000,49755,0.000,0.0,287.4,0.2,1.1,0.3347,0
Uranus,Ophelia,707,2460676.500000,53765,0.011,19.3,213.4,0.2,151.6,0.3764,0
Uranus,Bianca,708,2460676.500000,59170,0.006,328.0,109.1,2.3,272.5,0.4347,0
Uranus,Cressida,709,2460676.500000,61770,0.004,87.9,0.5,1.8,308.2,0.4639,0
Uranus,Desdemona,710,2460676.500000,62663,0.007,137.0,230.0,3.1,283.9,0.4736,0
Uranus,Juliet,711,2460676.500000,64362,0.006,274.9,319.8,3.0,141.0,0.4931,0
Uranus,Portia,712,2460676.500000,66101,0.004,31.6,310.1,2.7,146.7,0.5132,0
Uranus,Rosalind,713,2460676.500000,69930,0.003,231.8,287.7,1.7,330.0,0.5583,0
Uranus,Belinda,714,2460676.500000,75258,0.002,58.6,226.4,1.4,96.2,0.6236,0
Uranus,Perdita,725,2460676.500000,76418,0.005,296.9,168.0,1.6,270.4,0.6382,0
Uranus,Mab,726,2460676.500000,97737,0.006,318.6,250.8,1.8,307.8,0.9229,0
Uranus,Cupid,727,2460676.500000,74396,0.007,168.0,3.3,2.0,31.1,0.6125,0
Uranus,S2025_U_1,75052,2460676.500000,57844,0.039,313.9,275.6,4.0,70.8,0.4201,0
Uranus,Caliban,716,2458849.500000,7167000,0.200,349.7,241.2,141.4,174.9,580.,0
Uranus,Sycorax,717,2458849.500000,12193200,0.520,25.4,332.1,157.0,267.1,1286.,0
Uranus,Prospero,718,2458849.500000,16221000,0.441,180.4,197.6,149.4,324.5,1974.,0
Uranus,Setebos,719,2458849.500000,17519800,0.579,356.1,148.0,153.9,244.7,2215.,0
Uranus,Stephano,720,2458849.500000,7951400,0.235,17.1,164.4,143.6,193.3,677.,0
Uranus,Trinculo,721,2458849.500000,8502600,0.220,162.2,55.6,167.1,196.5,749.,0
Uranus,Francisco,722,2458849.500000,4275700,0.144,137.6,288.4,146.8,101.9,267.,0
Uranus,Margaret,723,2458849.500000,14425000,0.642,90.7,115.9,60.5,0.9,1655.,0
Uranus,Ferdinand,724,2458849.500000,20421400,0.395,166.9,172.3,169.2,223.9,2788.,0
Uranus,S2023_U1,75051,2458849.500000,7976600,0.250,158.7,101.8,143.9,260.2,681.,0
Neptune,Triton,801,2451545.000000,354800,0.000,0.0,63.0,157.3,178.1,5.876994,1352.6
Neptune,Naiad,803,2451545.000000,48200,0.000,0.0,89.7,4.7,41.4,0.293980,29
Neptune,Thalassa,804,2451545.000000,50100,0.000,0.0,165.7,0.2,130.6,0.311078,40
Neptune,Despina,805,2451545.000000,52500,0.000,0.0,125.1,0.0,0.0,0.334656,74
Neptune,Galatea,806,2451545.000000,62000,0.000,0.0,86.7,0.0,0.0,0.428744,79
Neptune,Larissa,807,2451545.000000,73500,0.001,247.3,165.5,0.2,312.0,0.554989,96
Neptune,Proteus,808,2451545.000000,117600,0.000,0.0,276.8,0.0,0.0,1.122315,208
Neptune,Hippocamp,814,2451545.000000,105300,0.001,346.4,286.5,0.3,0.5,0.950390,0
Neptune,Nereid,802,2458849.500000,5513900,0.751,296.8,318.5,5.1,319.5,360.133039,170
Neptune,Halimede,809,2458849.500000,16590500,0.521,157.9,135.8,119.6,198.5,1879.,0
Neptune,Psamathe,810,2458849.500000,47646600,0.413,148.2,183.2,127.8,302.9,9149.,0
Neptune,Sao,811,2458849.500000,22239900,0.296,93.5,178.5,50.2,41.8,2919.,0
Neptune,Laomedeia,812,2458849.500000,23499900,0.419,146.2,248.1,36.9,57.6,3168.,0
Neptune,Neso,813,2458849.500000,49897800,0.455,89.8,13.8,128.4,55.4,9805.,0
Neptune,S2002_N5,85051,2458849.500000,23414700,0.433,59.1,303.2,46.3,258.3,3151.,0
Neptune,S2021_N1,85052,2458849.500000,50700200,0.503,90.4,237.1,135.2,258.9,10043.,0
